MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,FailureReason
94,B4_K04_I01-02-04-05,Branch4,PowerREV,4,4,1/2/4/5,0/45/135/180,3,3.20041258076506,1,0,
95,B4_K04_I01-02-04-06,Branch4,PowerREV,4,4,1/2/4/6,0/45/135/225,3,1.84282769753824,1,0,
96,B4_K04_I01-02-04-07,Branch4,PowerREV,4,4,1/2/4/7,0/45/135/270,3,1.71198246026788,1,0,
97,B4_K04_I01-02-04-08,Branch4,PowerREV,4,4,1/2/4/8,0/45/135/315,3,2.86467557480933,1,0,
98,B4_K04_I01-02-04-09,Branch4,PowerREV,4,3,1/2/4/9,0/45/135/360,3,5.87683187570298,1,0,
99,B4_K04_I01-02-05-06,Branch4,PowerREV,4,4,1/2/5/6,0/45/180/225,3,2.41421356237309,1,0,
100,B4_K04_I01-02-05-07,Branch4,PowerREV,4,4,1/2/5/7,0/45/180/270,3,1.84282769753824,1,0,
101,B4_K04_I01-02-05-08,Branch4,PowerREV,4,4,1/2/5/8,0/45/180/315,3,2.03950773330884,1,0,
102,B4_K04_I01-02-05-09,Branch4,PowerREV,4,3,1/2/5/9,0/45/180/360,3,3.49884359610929,1,0,
103,B4_K04_I01-02-06-07,Branch4,PowerREV,4,4,1/2/6/7,0/45/225/270,3,3.20041258076506,1,0,
104,B4_K04_I01-02-06-08,Branch4,PowerREV,4,4,1/2/6/8,0/45/225/315,3,2.86467557480933,1,0,
105,B4_K04_I01-02-06-09,Branch4,PowerREV,4,3,1/2/6/9,0/45/225/360,3,3.73205080756888,1,0,
106,B4_K04_I01-02-07-08,Branch4,PowerREV,4,4,1/2/7/8,0/45/270/315,3,5.35659130799869,1,0,
107,B4_K04_I01-02-07-09,Branch4,PowerREV,4,3,1/2/7/9,0/45/270/360,3,5.90198950474449,1,0,
