MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,ResponseRecoverable,LocationIndex,Location,DoaValid,FailureReason,AzimuthDeg,ElevationDeg,Ux,Uy,Uz,AngularErrorDeg,PeakScore,FrequencyCount,ValidFraction
15,B4_K03_I01-03-08,Branch4,PowerREV,3,3,1/3/8,0/90/315,1,4,Location4,1,,68.888118034059,1.86244079953198,0.36,0.932386052019227,0.0324999999999999,5.14658169849668,0.386404808459668,21,0.867559523809524
16,B4_K03_I01-03-09,Branch4,PowerREV,3,2,1/3/9,0/90/360,0,1,Location1,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
16,B4_K03_I01-03-09,Branch4,PowerREV,3,2,1/3/9,0/90/360,0,2,Location2,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
16,B4_K03_I01-03-09,Branch4,PowerREV,3,2,1/3/9,0/90/360,0,3,Location3,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
16,B4_K03_I01-03-09,Branch4,PowerREV,3,2,1/3/9,0/90/360,0,4,Location4,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
17,B4_K03_I01-04-05,Branch4,PowerREV,3,3,1/4/5,0/135/180,1,1,Location1,1,,122.616561332612,-8.91679625299095,-0.5325,0.83211702902897,-0.155,11.6687104629037,0.373437606551644,20,0.8
17,B4_K03_I01-04-05,Branch4,PowerREV,3,3,1/4/5,0/135/180,1,2,Location2,1,,143.93417352907,-6.89210257934638,-0.8025,0.584460221058713,-0.12,17.2856566942083,0.14583934066858,20,0.7640625
17,B4_K03_I01-04-05,Branch4,PowerREV,3,3,1/4/5,0/135/180,1,3,Location3,1,,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.670512030334133,21,1
17,B4_K03_I01-04-05,Branch4,PowerREV,3,3,1/4/5,0/135/180,1,4,Location4,1,,69.1868782747141,2.43580428350657,0.355,0.933899753720923,0.0424999999999999,5.74120851959384,0.433517726370776,21,0.883928571428571
18,B4_K03_I01-04-06,Branch4,PowerREV,3,3,1/4/6,0/135/225,1,1,Location1,1,,123.006924797102,-9.35203505756315,-0.5375,0.827458458171768,-0.1625,12.2183531178971,0.498369098585494,21,0.873511904761905
18,B4_K03_I01-04-06,Branch4,PowerREV,3,3,1/4/6,0/135/225,1,2,Location2,1,,143.801864183205,-4.01398721805631,-0.805,0.589130715546219,-0.07,16.7249474249939,0.229106826012784,21,0.852678571428571
18,B4_K03_I01-04-06,Branch4,PowerREV,3,3,1/4/6,0/135/225,1,3,Location3,1,,95.8891367114247,2.57918105164837,-0.1025,0.993714622011773,0.0449999999999999,8.47525337559886,0.743133818370253,21,1
18,B4_K03_I01-04-06,Branch4,PowerREV,3,3,1/4/6,0/135/225,1,4,Location4,1,,68.886249246736,2.00576193490982,0.36,0.93229555399562,0.0349999999999999,5.28961108043064,0.540144884479211,21,0.9375
19,B4_K03_I01-04-07,Branch4,PowerREV,3,3,1/4/7,0/135/270,1,1,Location1,1,,123.054694549299,-9.78781905671397,-0.5375,0.825950210363797,-0.17,12.4811900906669,0.552333928298907,21,0.866071428571429
19,B4_K03_I01-04-07,Branch4,PowerREV,3,3,1/4/7,0/135/270,1,2,Location2,1,,143.893585517872,-4.87602486961296,-0.805,0.587154153523587,-0.085,16.8963485690724,0.24587831211312,21,0.873511904761905
19,B4_K03_I01-04-07,Branch4,PowerREV,3,3,1/4/7,0/135/270,1,3,Location3,1,,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.753632187093527,21,1
19,B4_K03_I01-04-07,Branch4,PowerREV,3,3,1/4/7,0/135/270,1,4,Location4,1,,69.1912407109243,2.14909562686402,0.355,0.934113884919821,0.0374999999999999,5.45645652402962,0.559654986737154,21,0.938988095238095
20,B4_K03_I01-04-08,Branch4,PowerREV,3,3,1/4/8,0/135/315,1,1,Location1,1,,122.535944192185,-9.78781905671397,-0.53,0.830782763422545,-0.17,12.0482927581979,0.451977636143929,21,0.803571428571429
20,B4_K03_I01-04-08,Branch4,PowerREV,3,3,1/4/8,0/135/315,1,2,Location2,1,,142.897373538684,-4.58856573578583,-0.795,0.601311067584823,-0.08,15.8773766836111,0.160588513957196,20,0.7375
20,B4_K03_I01-04-08,Branch4,PowerREV,3,3,1/4/8,0/135/315,1,3,Location3,1,,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.652413710531765,21,1
20,B4_K03_I01-04-08,Branch4,PowerREV,3,3,1/4/8,0/135/315,1,4,Location4,1,,69.3499784607586,1.71913132087781,0.3525,0.935330823826522,0.0299999999999999,5.04971850057036,0.437126243029254,21,0.901785714285714
21,B4_K03_I01-04-09,Branch4,PowerREV,3,2,1/4/9,0/135/360,0,1,Location1,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
21,B4_K03_I01-04-09,Branch4,PowerREV,3,2,1/4/9,0/135/360,0,2,Location2,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
21,B4_K03_I01-04-09,Branch4,PowerREV,3,2,1/4/9,0/135/360,0,3,Location3,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
21,B4_K03_I01-04-09,Branch4,PowerREV,3,2,1/4/9,0/135/360,0,4,Location4,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
22,B4_K03_I01-05-06,Branch4,PowerREV,3,3,1/5/6,0/180/225,1,1,Location1,1,,123.164701258421,-9.2068962213459,-0.54,0.826317130404544,-0.16,12.2827869729163,0.37712946264378,20,0.8171875
22,B4_K03_I01-05-06,Branch4,PowerREV,3,3,1/5/6,0/180/225,1,2,Location2,1,,143.292305000059,-3.72685314248215,-0.8,0.596468775377219,-0.0649999999999999,16.1998329691703,0.172041996091155,18,0.793402777777778
22,B4_K03_I01-05-06,Branch4,PowerREV,3,3,1/5/6,0/180/225,1,3,Location3,1,,95.7456777709434,2.72257398337613,-0.1,0.993852982085379,0.0474999999999999,8.48121196197503,0.663636853082833,21,1
22,B4_K03_I01-05-06,Branch4,PowerREV,3,3,1/5/6,0/180/225,1,4,Location4,1,,69.1967579819565,1.71913132087781,0.355,0.934384824363067,0.0299999999999999,5.02973085550508,0.42191600878762,20,0.90625
23,B4_K03_I01-05-07,Branch4,PowerREV,3,3,1/5/7,0/180/270,1,1,Location1,1,,123.087861326773,-10.0786581077877,-0.5375,0.824905297594821,-0.175,12.6629414924487,0.498294249735843,21,0.857142857142857
23,B4_K03_I01-05-07,Branch4,PowerREV,3,3,1/5/7,0/180/270,1,2,Location2,1,,143.256892979746,-3.29632543912624,-0.8,0.597238436472402,-0.0574999999999999,16.1466782505143,0.24483266883422,21,0.842261904761905
23,B4_K03_I01-05-07,Branch4,PowerREV,3,3,1/5/7,0/180/270,1,3,Location3,1,,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.738417918584504,21,1
23,B4_K03_I01-05-07,Branch4,PowerREV,3,3,1/5/7,0/180/270,1,4,Location4,1,,69.1997531762053,1.4325437375665,0.355,0.934531968420557,0.0249999999999999,4.74554550752062,0.517517573013751,21,0.925595238095238
24,B4_K03_I01-05-08,Branch4,PowerREV,3,3,1/5/8,0/180/315,1,1,Location1,1,,122.818688285915,-9.2068962213459,-0.535,0.829563138043151,-0.16,11.9850090552187,0.448294748163186,21,0.816964285714286
24,B4_K03_I01-05-08,Branch4,PowerREV,3,3,1/5/8,0/180/315,1,2,Location2,1,,143.740039372557,-5.59522743552786,-0.8025,0.588631888364876,-0.0975,16.8445521661108,0.167126144503918,21,0.724702380952381
24,B4_K03_I01-05-08,Branch4,PowerREV,3,3,1/5/8,0/180/315,1,3,Location3,1,,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.647876690604085,21,1
24,B4_K03_I01-05-08,Branch4,PowerREV,3,3,1/5/8,0/180/315,1,4,Location4,1,,69.3515316927458,1.57583259975216,0.3525,0.935407665138575,0.0274999999999999,4.90821960925587,0.442000745269582,21,0.891369047619048
25,B4_K03_I01-05-09,Branch4,PowerREV,3,2,1/5/9,0/180/360,0,1,Location1,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
25,B4_K03_I01-05-09,Branch4,PowerREV,3,2,1/5/9,0/180/360,0,2,Location2,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
25,B4_K03_I01-05-09,Branch4,PowerREV,3,2,1/5/9,0/180/360,0,3,Location3,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
25,B4_K03_I01-05-09,Branch4,PowerREV,3,2,1/5/9,0/180/360,0,4,Location4,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
26,B4_K03_I01-06-07,Branch4,PowerREV,3,3,1/6/7,0/225/270,1,1,Location1,1,,122.914388667973,-10.0786581077877,-0.535,0.826528886367561,-0.175,12.5192343637893,0.367909808511525,21,0.779761904761905
26,B4_K03_I01-06-07,Branch4,PowerREV,3,3,1/6/7,0/225/270,1,2,Location2,1,,90.7162517115414,-0.572967344857148,-0.0125,0.99987186679094,-0.00999999999999991,36.4273659761083,0.155928265133052,19,0.771381578947368
